Name,Skills,Experience,Education,Location,Email,Phone
AzadKrishnamurthy,"Azure, Spring",12,Master's Degree,Patna,vigmiraan@example.org,1123188302
HazelShah,"Django, Google Cloud, .NET",2,Master's Degree,Vasai-Virar,adira92@example.org,4022146296
KimayaDoctor,Ruby,4,PhD,Nashik,biju36@example.net,+916971420710
ZaraVig,Azure,3,High School,Bhopal,bhargavaurvi@example.org,8616760776
JhanviSarna,"Git, Azure, Jenkins",14,Master's Degree,Bhopal,chandraanahi@example.net,2451609604
SakshamDivan,"Django, .NET",1,High School,Thane,obadami@example.org,+912759914047
KeyaRam,C#,16,PhD,Nashik,biju09@example.net,+914465132139
GatikDugar,"Django, Azure, Spring, NoSQL",10,High School,Hyderabad,jaggimiraya@example.org,+917669280709
RiyaWali,"Angular, Python, Django",4,High School,Bhopal,abramchanda@example.net,+916616290004
VanyaYohannan,"NoSQL, SQL, Kotlin, JavaScript, .NET",16,PhD,Mumbai,idasgupta@example.net,04683601661
MishtiWason,"Spring, Java",1,Master's Degree,Vadodara,daminihanda@example.org,01143520637
KimayaDani,"React, Jenkins, .NET",8,PhD,Chennai,kapurshayak@example.net,3397399039
HridaanSoman,"AWS, Django, Ruby, Python",14,PhD,Faridabad,qchada@example.net,4995755395
RaghavRajagopalan,React,7,Bachelor's Degree,Rajkot,butalaseher@example.com,6598813346
SamarSagar,"Docker, Vue.js, Ruby on Rails, C++",5,Bachelor's Degree,Chennai,gillanahita@example.org,3006553810
JayantDua,"React, AWS, Java",2,High School,Indore,aradhya52@example.net,01824012336
SuhanaKarnik,"AWS, Angular",17,Bachelor's Degree,Jaipur,vidursolanki@example.com,+914340364803
TaimurDyal,"SQL, Azure, NoSQL, JavaScript, Ruby on Rails",0,PhD,Vasai-Virar,boaselakshay@example.net,+914943944755
JayantSangha,Swift,4,High School,Jaipur,rania55@example.org,3910266305
AkarshChaudry,Vue.js,10,Bachelor's Degree,Ahmedabad,rdyal@example.net,+915305844083
KrishThaker,"Ruby, Django, Java",6,Bachelor's Degree,Delhi,eshani38@example.net,00260618084
ManjariTara,"Node.js, Django, Spring",17,High School,Surat,ira43@example.org,+916698164692
AnahiDhar,"C++, Azure",18,High School,Vadodara,kaulhunar@example.com,00305344607
SamihaBail,"Java, Node.js, PHP, Angular",7,Master's Degree,Mumbai,rbrahmbhatt@example.net,+918915200359
IraKhalsa,"Swift, C++, Google Cloud, Spring",0,Bachelor's Degree,Delhi,sahnisuhana@example.net,+912279787651
FarhanDalal,"Swift, .NET, Google Cloud, Kotlin, Django",14,PhD,Visakhapatnam,anviyadav@example.org,3772206158
CharviMammen,"Ruby, JavaScript, Spring, C#",17,High School,Visakhapatnam,arhaan54@example.com,+916704451432
YashviBhattacharyya,"Azure, Java, NoSQL",14,Bachelor's Degree,Delhi,odalal@example.net,4378246996
RitvikShetty,".NET, Docker, Google Cloud, C++",20,Bachelor's Degree,Kanpur,ksastry@example.net,05612096693
JayanWali,"AWS, Node.js, Spring, PHP",7,High School,Rajkot,dhawannirvaan@example.org,+912892737098
RohanBasu,"NoSQL, JavaScript, Docker",16,PhD,Meerut,hazel31@example.com,03327242247
AnviKhanna,"C#, PHP, Ruby on Rails",11,Bachelor's Degree,Pune,shayak35@example.org,01580699760
YashviSoni,"Spring, Jenkins",10,Master's Degree,Patna,ramachandranbiju@example.com,06445329704
RyanShetty,"AWS, Google Cloud, NoSQL",17,Bachelor's Degree,Bangalore,rjohal@example.net,07862756527
JivinSehgal,"Python, NoSQL, PHP, Node.js, Java",15,PhD,Thane,zoyadeol@example.com,7156987538
AnayLoke,Spring,19,Bachelor's Degree,Vasai-Virar,misha51@example.org,03117903703
ManikyaChhabra,"SQL, Google Cloud",11,High School,Patna,boasepurab@example.com,0740700514
RohanBansal,"Spring, Django, NoSQL",3,High School,Kolkata,chirag71@example.org,6028293419
NehmatDugar,"Vue.js, C++",7,Master's Degree,Kanpur,eshanighose@example.org,00943369019
AnikaKarnik,Django,10,Bachelor's Degree,Agra,igrewal@example.net,09417768883
DhruvChoudhry,"Django, Swift",7,PhD,Rajkot,xchada@example.net,+911422940307
SakshamBava,NoSQL,2,Bachelor's Degree,Visakhapatnam,amira20@example.net,5615765300
DivitJani,"JavaScript, Kotlin",18,Master's Degree,Visakhapatnam,ekadakia@example.net,+913893585663
KartikSavant,"Python, Spring, Ruby on Rails, Vue.js, Kotlin",1,High School,Bangalore,yuvraj-kapur@example.net,06158775843
MishaTank,"Google Cloud, Java",9,Master's Degree,Chennai,manikya07@example.net,9030612298
IndranilSunder,.NET,0,PhD,Bangalore,darmyra@example.net,02214383598
